X,Y,TrafficID,IntersectionID,lat,lon,intersection,TOOLTIP,NLA_URL
-13165367.9064219,4000220.30167132,1,3667,33.78687,-118.2665,ISLAND AVE at L ST,Location: ISLAND AVE at L ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1
-13166953.0961924,4000103.77387926,2,3680,33.786,-118.28074,FIGUEROA ST at L ST,Location: FIGUEROA ST at L ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=2
-13165128.5693447,3998112.27253184,3,3727,33.77113,-118.26435,FRIES AVE at HARRY BRIDGES BLVD,Location: FRIES AVE at HARRY BRIDGES BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=3
-13161117.9244942,3999579.33834702,4,3787,33.78208443,-118.22832177,ANAHEIM ST AT FARRAGUT AVE,Location: ANAHEIM ST AT FARRAGUT AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=4
-13166573.4967421,4001664.27049004,5,3839,33.79765,-118.27733,DON ST at FRIGATE AVE,Location: DON ST at FRIGATE AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=5
-13167691.8690032,4014390.08223494,6,3975,33.89259626,-118.2873765,REDONDO BEACH BLVD AT ORCHARD AVE,Location: REDONDO BEACH BLVD AT ORCHARD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=6
-13167792.4006319,4014386.56875056,7,3976,33.89257006,-118.28827959,ORCHARD AVE AT REDONDO BEACH BLVD,Location: ORCHARD AVE AT REDONDO BEACH BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=7
-13167884.8413407,4012922.21449713,8,3995,33.88165,-118.28911,GARDENA BLVD at MENLO AVE,Location: GARDENA BLVD at MENLO AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=8
-13167489.6570554,4012936.96423892,9,4007,33.88176,-118.28556,ESTRELLA AVE at GARDENA BLVD,Location: ESTRELLA AVE at GARDENA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=9
-13167633.2591613,4012600.40524474,10,4009,33.87925,-118.28685,168TH ST at HOOVER ST,Location: 168TH ST at HOOVER ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=10
-13164882.5545583,4019545.44972056,11,4069,33.93103,-118.26214,IMPERIAL HWY at STANFORD AVE,Location: IMPERIAL HWY at STANFORD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=11
-13164487.3703528,4019541.42477593,12,4089,33.931,-118.25859,114TH ST at IMPERIAL HWY,Location: 114TH ST at IMPERIAL HWY,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=12
-13167159.0386172,4019540.08294114,13,4091,33.93099,-118.28259,FIGUEROA ST at IMPERIAL HWY,Location: FIGUEROA ST at IMPERIAL HWY,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=13
-13167658.8634029,4024007.36538096,14,4202,33.96428,-118.28708,82ND ST at HOOVER ST,Location: 82ND ST at HOOVER ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=14
-13167658.8634922,4023920.12321305,15,4203,33.96363,-118.28708,83RD ST at HOOVER ST,Location: 83RD ST at HOOVER ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=15
-13167171.2839398,4023722.82434227,16,4265,33.96216,-118.2827,84TH ST at FIGUEROA ST,Location: 84TH ST at FIGUEROA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=16
-13167644.3917495,4022102.95413607,17,4279,33.95009,-118.28695,95TH ST at HOOVER ST,Location: 95TH ST at HOOVER ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=17
-13167643.2785822,4021488.34930736,18,4286,33.94551,-118.28694,CENTURY BLVD at HOOVER ST,Location: CENTURY BLVD at HOOVER ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=18
-13162006.0584395,4019605.82511241,19,4335,33.93148,-118.2363,114TH ST at GRAPE ST,Location: 114TH ST at GRAPE ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=19
-13161340.3678152,4019273.09473864,20,4347,33.929,-118.23032,IMPERIAL HWY at MONA BLVD,Location: IMPERIAL HWY at MONA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=20
-13174317.9971279,4032556.30169784,21,4366,34.02795,-118.3469,30TH ST at VINEYARD AVE,Location: 30TH ST at VINEYARD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=21
-13174339.1477966,4032522.72181312,22,4371,34.0277,-118.34709,FIELD AVE at VINEYARD AVE,Location: FIELD AVE at VINEYARD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=22
-13174221.1491041,4032506.60339206,23,4376,34.02758,-118.34603,30TH ST at FARMDALE AVE,Location: 30TH ST at FARMDALE AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=23
-13175073.8565632,4032456.90539007,24,4394,34.02721,-118.35369,LA BREA AVE at ROSELAND ST,Location: LA BREA AVE at ROSELAND ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=24
-13177121.0223093,4032362.88258688,25,4401,34.02651,-118.37208,JEFFERSON BLVD at LA CIENEGA BLVD,Location: JEFFERSON BLVD at LA CIENEGA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=25
-13174221.1491106,4032232.5955298,26,4410,34.02554,-118.34603,FARMDALE AVE at JEFFERSON BLVD,Location: FARMDALE AVE at JEFFERSON BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=26
-13175444.5505079,4032227.22286259,27,4417,34.0255,-118.35702,JEFFERSON BLVD at SYCAMORE AVE,Location: JEFFERSON BLVD at SYCAMORE AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=27
-13175677.2083362,4032225.87958697,28,4419,34.02549,-118.35911,JEFFERSON BLVD at REDONDO BLVD,Location: JEFFERSON BLVD at REDONDO BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=28
-13175240.83585,4032117.08434359,29,4432,34.02468,-118.35519,EXPOSITION BOULEVARD S/R at LA BREA AVE,Location: EXPOSITION BOULEVARD S/R at LA BREA AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=29
-13174221.1490382,4032040.52529419,30,4436,34.02411,-118.34603,EXPOSITION BOULEVARD N/R at FARMDALE AVE,Location: EXPOSITION BOULEVARD N/R at FARMDALE AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=30
-13176449.765623,4031266.90434096,31,4483,34.01835,-118.36605,COLISEUM ST at HAUSER BLVD,Location: COLISEUM ST at HAUSER BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=31
-13174410.3921896,4030502.73690922,32,4539,34.01266,-118.34773,HILLCREST DR at PINAFORE ST,Location: HILLCREST DR at PINAFORE ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=32
